species_id	individual	week	rpkg	kit	group	species_name
55290	96	4	0	qiagen	WT	Akkermansia muciniphila
60234	96	4	0.00138121550084	qiagen	WT	Helicobacter apodemus
54642	96	4	0.0014918787817	qiagen	WT	Bacteroides sartorii
57318	96	4	0.000277531981643	qiagen	WT	Bacteroides uniformis
61442	96	4	0.0317816030609	qiagen	WT	Lachnospiraceae bacterium
55290	96	5	0	mobio	WT	Akkermansia muciniphila
60234	96	5	0.00899949417614	mobio	WT	Helicobacter apodemus
54642	96	5	0.000840609910714	mobio	WT	Bacteroides sartorii
57318	96	5	0.000574898255853	mobio	WT	Bacteroides uniformis
61442	96	5	0.0211281860994	mobio	WT	Lachnospiraceae bacterium
55290	96	6	0	qiagen	WT	Akkermansia muciniphila
60234	96	6	0.000714884430772	qiagen	WT	Helicobacter apodemus
54642	96	6	0.00161678771987	qiagen	WT	Bacteroides sartorii
57318	96	6	0.00114528092701	qiagen	WT	Bacteroides uniformis
61442	96	6	0.0117207496495	qiagen	WT	Lachnospiraceae bacterium
55290	96	8	0	qiagen	WT	Akkermansia muciniphila
60234	96	8	0.00379405889401	qiagen	WT	Helicobacter apodemus
54642	96	8	0.00130061905765	qiagen	WT	Bacteroides sartorii
57318	96	8	0.002502269746	qiagen	WT	Bacteroides uniformis
61442	96	8	0.0147395587567	qiagen	WT	Lachnospiraceae bacterium
55290	61	10	0	qiagen	DNR	Akkermansia muciniphila
60234	61	10	5.70189074392e-05	qiagen	DNR	Helicobacter apodemus
54642	61	10	0.00870064542738	qiagen	DNR	Bacteroides sartorii
57318	61	10	0.00596182212538	qiagen	DNR	Bacteroides uniformis
61442	61	10	0.0261524129079	qiagen	DNR	Lachnospiraceae bacterium
55290	73	10	0	qiagen	DNR	Akkermansia muciniphila
60234	73	10	0.000237207074452	qiagen	DNR	Helicobacter apodemus
54642	73	10	0.0172134325322	qiagen	DNR	Bacteroides sartorii
57318	73	10	0.00476442981713	qiagen	DNR	Bacteroides uniformis
61442	73	10	0.00222597688207	qiagen	DNR	Lachnospiraceae bacterium
55290	75	10	0	qiagen	WT	Akkermansia muciniphila
60234	75	10	0.00148642450046	qiagen	WT	Helicobacter apodemus
