individual	week	kit	KO	Abundance	module_id	group
96	6	qiagen	K16190	0.000187073193359097	M00014	WT
96	5	mobio	K13247	0.000765681778722627	M00014	WT
96	6	qiagen	K13247	0.000267870544324369	M00014	WT
96	8	qiagen	K13247	0.000657624675702825	M00014	WT
96	12	qiagen	K13247	0.00128406773339118	M00014	WT
96	13	mobio	K16190	0.000113814695215081	M00014	WT
96	4	qiagen	K13247	0.0005233629195774	M00014	WT
96	13	mobio	K12447	7.44246755473827e-05	M00014	WT
92	12	qiagen	K16190	0.000134833339200072	M00014	DNR
96	6	qiagen	K12447	0.000109231247731258	M00014	WT
96	5	mobio	K12447	0.000165420779229525	M00014	WT
92	5	mobio	K16190	4.84537195327586e-05	M00014	DNR
96	13	mobio	K13247	0.000244454171461957	M00014	WT
96	10	qiagen	K12447	7.24392096320939e-05	M00014	WT
92	12	qiagen	K13247	0.000190667182899302	M00014	DNR
92	6	qiagen	K13247	0.000195841357717238	M00014	DNR
92	12	qiagen	K12447	8.83596142342289e-05	M00014	DNR
92	13	mobio	K13247	0.000839693976427489	M00014	DNR
92	5	mobio	K12447	6.98075222114583e-05	M00014	DNR
92	13	mobio	K12447	0.000119916317564017	M00014	DNR
90	12	qiagen	K16190	0.000221318012131275	M00014	WT
96	12	qiagen	K03331	0.00301889444180025	M00014	WT
96	5	mobio	K04059	0.000981371238385205	M00332	WT
96	5	mobio	K04058	0.00291756594408106	M00332	WT
96	5	mobio	K04057	0.00251769878797124	M00332	WT
96	5	mobio	K04056	0.000663823969189371	M00332	WT
96	8	qiagen	K04057	0.000644455497256801	M00332	WT
96	8	qiagen	K04058	0.000764765732702746	M00332	WT
96	8	qiagen	K04059	0.00048412998597808	M00332	WT
96	8	qiagen	K04056	0.00034843533076497	M00332	WT
96	6	qiagen	K04057	0.00252820464886869	M00332	WT
96	6	qiagen	K04058	0.000665489774250977	M00332	WT
96	6	qiagen	K04056	0.000339231347448628	M00332	WT
96	12	qiagen	K04056	0.000933059817375726	M00332	WT
96	12	qiagen	K04057	0.00103435584538935	M00332	WT
96	12	qiagen	K04058	0.00139376760069913	M00332	WT
96	12	qiagen	K04059	0.000622999999165902	M00332	WT
90	5	mobio	K16190	0.000261108014772989	M00014	WT
96	10	qiagen	K04058	0.00023602418854795	M00332	WT
96	13	mobio	K05351	0.0047367711020808	M00014	WT
96	5	mobio	K05351	0.0107043409836614	M00014	WT
96	8	qiagen	K05351	0.00996415793610786	M00014	WT
96	6	qiagen	K05351	0.00435076228442207	M00014	WT
96	12	qiagen	K05351	0.011870580293623	M00014	WT
96	10	qiagen	K05351	0.00205374277555952	M00014	WT
90	6	qiagen	K13247	0.000828826408272547	M00014	WT
96	4	qiagen	K05351	0.00962542975765411	M00014	WT
96	6	qiagen	K01647	0.157038375929151	M00009	WT
96	12	qiagen	K01217	0.000320349927648093	M00076	WT
96	6	qiagen	K01681	0.229054318348988	M00009	WT
96	6	qiagen	K01682	0.00660819091482986	M00009	WT
96	6	qiagen	K01678	0.165806707548948	M00009	WT
96	6	qiagen	K01679	0.086539135197624	M00009	WT
96	13	mobio	K02193	0.0239114403502576	M00259	WT
96	6	qiagen	K01676	0.511081132713783	M00009	WT
96	6	qiagen	K01677	0.157738988832935	M00009	WT
90	10	qiagen	K13247	0.00119454628517334	M00014	WT
96	13	mobio	K02195	0.0277155524325339	M00259	WT
96	13	mobio	K02194	0.015429586516744	M00259	WT
96	5	mobio	K01647	0.353558748849429	M00009	WT
96	5	mobio	K01682	0.0248132359294397	M00009	WT
96	5	mobio	K01681	0.417581430805754	M00009	WT
96	5	mobio	K01679	0.0872128760979843	M00009	WT
96	5	mobio	K01678	0.364681989394009	M00009	WT
96	5	mobio	K01677	0.404117203651302	M00009	WT
96	5	mobio	K01676	0.303690929473468	M00009	WT
96	10	qiagen	K01217	0.000411730941808856	M00076	WT
90	8	qiagen	K13247	0.000470584133737709	M00014	WT
96	12	qiagen	K01135	0.00227537027207143	M00076	WT
96	12	qiagen	K01136	0.0108492581558757	M00076	WT
96	12	qiagen	K01195	0.173368231538737	M00076	WT
96	12	qiagen	K01197	0.0690347208191179	M00076	WT
96	10	qiagen	K01647	0.12967008552969	M00009	WT
96	10	qiagen	K01679	0.0315113788066413	M00009	WT
